date,event_name,event_type,demand_multiplier
2026-01-01,New Year's Day,public_holiday,1.4
2026-02-14,Valentine's Day,social_event,1.3
2026-03-29,Eid Al Fitr Start,public_holiday,1.6
2026-04-01,Eid Al Fitr End,public_holiday,1.6
2026-04-18,UAE National Sports Day,public_holiday,1.2
2026-06-05,Eid Al Adha Start,public_holiday,1.5
2026-09-15,Dubai Shopping Festival,tourism_event,1.4
2026-10-31,Halloween,social_event,1.2
2026-11-15,Dubai Airshow,business_event,1.5
2026-11-28,Thanksgiving,tourism_event,1.3
2026-12-01,UAE National Day,public_holiday,1.5
2026-12-20,Christmas Period Start,tourism_event,1.6
2026-12-31,New Year's Eve,social_event,1.8
